subdet,layer,waferu,waferv,tc_eta,tc_phi
1,1,3,7,1.8757199,1.484109
1,1,3,8,1.7360331,1.4346461
1,1,3,9,1.6242236,1.3862203
1,1,3,10,1.5264673,1.3284267
1,1,4,-6,1.5406587,-2.5022738
1,1,4,-5,1.6367296,-2.553207
1,1,4,-4,1.7438835,-2.6185799
1,1,4,-3,1.8742478,-2.697759
1,1,4,-2,2.0047746,-2.8080766
1,1,4,-1,2.1446478,-2.9565399
1,1,4,0,2.2776947,-0.00022901
1,1,4,1,2.3819015,2.8980038
1,1,4,2,2.418242,2.6198835
1,1,4,3,2.3802054,2.334108
1,1,4,4,2.2789521,2.0962598
1,1,4,5,2.1462677,1.9052337
1,1,4,6,2.0080426,1.7624795
1,1,4,7,1.8697093,1.6535839
1,1,4,8,1.7486645,1.5697714
1,1,4,9,1.643727,1.5036913
1,1,4,10,1.5414839,1.4584241
1,1,5,-5,1.5473506,-2.6202238
1,1,5,-4,1.6391262,-2.6788392
1,1,5,-3,1.7378386,-2.7658093
1,1,5,-2,1.8519514,-2.8629954
1,1,5,-1,1.9572526,-2.9871247
1,1,5,0,2.0625393,0.07413707
1,1,5,1,2.1481218,2.9528215
1,1,5,2,2.1941962,2.7322109
1,1,5,3,2.1920657,2.5010412
1,1,5,4,2.146148,2.282313
1,1,5,5,2.0587592,2.1003497
1,1,5,6,1.957181,1.9366972
1,1,5,7,1.851116,1.8189509
1,1,5,8,1.7408379,1.7140938
1,1,5,9,1.6350064,1.6405091
1,1,5,10,1.5449675,1.5666078
1,1,6,-4,1.5386913,-2.733166
1,1,6,-3,1.6226411,-2.8038018
1,1,6,-2,1.7070508,-2.8925512
1,1,6,-1,1.8000697,-3.0075512
1,1,6,0,1.885935,-0.09015542
1,1,6,1,1.9577905,2.9878683
1,1,6,2,2.0050688,2.806553
1,1,6,3,2.0194075,2.616101
1,1,6,4,2.0124693,2.4291413
1,1,6,5,1.9588014,2.245724
1,1,6,6,1.8849952,2.0962415
1,1,6,7,1.8032632,1.963411
1,1,6,8,1.712253,1.8572769
1,1,6,9,1.619749,1.7606207
1,1,6,10,1.5372113,1.6831528
1,1,7,-3,1.5293462,-2.8424003
1,1,7,-2,1.5941402,-2.9290922
1,1,7,-1,1.6716784,-3.0308628
1,1,7,0,1.7370654,-0.534229
1,1,7,1,1.8028824,3.0057137
1,1,7,2,1.8475472,2.8574975
1,1,7,3,1.8723062,2.706142
1,1,7,4,1.8716873,2.5308967
1,1,7,5,1.8411044,2.3736734
1,1,7,6,1.8024501,2.236344
1,1,7,7,1.740254,2.0968559
1,1,7,8,1.6660396,1.9842057
1,1,7,9,1.5990399,1.8855507
1,1,7,10,1.5243115,1.7999427
1,1,8,-1,1.5550036,-3.043069
